Ramen Kai(Taito)	台東区蔵前4-20-10宮内ビル1F
Mendokoro Haru(Taito)	台東区下谷1-11-7
Men Mitsui(Taito)	台東区西浅草2-10-4あけぼのビル1B
Ramen Inariya(Taito)	台東区元浅草2-10-13島田ビル1F
Rokutsuki(Taito)	台東区浅草橋2-4-5
IkinaIssho(Taito)	台東区台東1-27-2竹善ビル1F
Sanji(Taito)	台東区東上野3-25-12池田工芸本社ビル1F
 Ramen  KamotoNegi(Taito)	台東区上野6-4-15
Chiranai Sakura(Taito)	台東区上野5-10-14
Gyozanosama(Taito)	台東区浅草1-30-8
Shinasoba Yamato(Taito)	台東区東上野6-1-7MSKビル1F
Ramen TenjinshitaDaiki(Taito)	台東区台東2-4-4
Ramen Fukuro(Taito)	台東区柳橋1-13-4丹羽ビル１Ｆ
Tomishiro(Taito)	台東区台東3-14-10
HomemadeNoodles Billiken(Taito)	  台東区雷門2-4-1岡安ビル1F
Ramen Yoroiya(Taito)	台東区浅草1-36-7
Kitakata ShokudoMenyagen(Taito)	台東区元浅草4-7-15
Ramen Nagayama(Taito)	台東区根岸1-3-21
SpiceRamen ManrikiAkihabara(Taito)	台東区台東1-10-51F
Hanada Ueno(Taito)	台東区上野6-8-6上野メガネセンタービル1F
Fuji Ramen (Taito)	台東区浅草1-24-5
Ramen Yabuzuka(Taito)	台東区上野3-13-1西武ビル1階
LR	
SobahouseKonjikihototogisu(Shinjuku)	新宿区新宿2-4-1第22宮廷マンション1F
Ramen Hayashida(Shinjuku)	新宿区新宿3-31-5新宿ペガサス館1F
Menya Syo(Shinjuku)	新宿区西新宿7-22-34
Menya Kaijin(Shinjuku)	新宿区新宿3-35-7さんらくビル　２Ｆ
Ramen Takahashi(Shinjuku)	新宿区歌舞伎町1-27-3KKビル1F
Ramen Manrai(Shinjuku)	新宿区西新宿1-4-10
Ramen Nagi(Shinjuku)	新宿区歌舞伎町1-1-10ゴールデン街(新宿ゴールデン街Ｇ２通り)2F
Suzuran(Shinjuku)	新宿区新宿3-11-12永谷テイクエイト1F
Housenka(Shinjuku)	新宿区歌舞伎町1-24-6
Mensho SanFrancisco(Shinjuku)	新宿区西新宿1-1-3新宿ミロード7F
Ramen Horiuchi(Shinjuku)	新宿区西新宿1-4-7高野ビル1F
Chukasoba Rukawa(Shinjuku)	新宿区西新宿7-9-15新宿ダイカンプラザビジネス清田ビル1F
Ebisoba Ichigen(Shinjuku)	新宿区西新宿7-8-2福八ビル1F
Ramen Furaikyo(Shinjuku)	新宿区西新宿7-19-18セードル新宿ハイツ　１Ｆ
Saru-Suberi(Shinjuku)	新宿区新宿3-4-8新宿三和東洋ビルヂングセゾンプラザB2
Men'anChitose(Shinjuku)	新宿区市谷台町18-5
LR	
FUUNJI(Shibuya)	渋谷区代々木2-14-3北斗第一ビルB1F
HayashiRamen (Shibuya)	渋谷区道玄坂1-14-9
Isoji(Shibuya)	渋谷区代々木1-14-5
OhzekiChuka-SobaRestaurant(Shibuya)	渋谷区恵比寿西1-9-4
Kiraku(Shibuya)	渋谷区道玄坂2-17-6
Chibakara(Shibuya)	渋谷区道玄坂2-22-2SHIBUYA道玄坂19561F
Ramen Kokuu(Shibuya)	渋谷区桜丘町29-5石島ビル102
Ramen KamuroEbisuGardenPlace(Shibuya)	渋谷区恵比寿西1-7-11鈴木ビル1F
Seimen Rabo(Shibuya)	渋谷区本町4-13-10
ChukaSoba SAKURAZAKA(Shibuya)	渋谷区桜丘町17-10吉野ビル1F
Kipposhi(Shibuya)	渋谷区神南1-11-5ダイネス壱番館渋谷102
Menya Nukaji(Shibuya)	渋谷区宇田川町3-12
Tsunagi(Shibuya)	渋谷区恵比寿1-4-1
Menya Owada(Shibuya)	渋谷区道玄坂1-6-7
Usagi(Shibuya)	渋谷区神泉町8-13
LR	
Yakumo Ramen(Meguro)	目黒区東山3-6-15エビヤビル1F
Senrigan(Meguro)	目黒区駒場4-6-8佐藤ビル1F
